"ZIP","NAME","Total","White","Black","Asian","Latinx","Other","White_key","Black_key","Asian_key","Latinx_key","Other_key","Population","Cases","Rate","Population_key","Cases_key","Rate_key"
"94561","Contra Costa",41911,43.9860657106726,7.73066736656248,6.16544582567822,36.2721004032354,5.84572069385126,"43.99%","7.73%","6.17%","36.27%","5.85%",-1,-1,-1,"No Data","No Data","No Data"
"94105","San Francisco",9155,41.7804478427089,0.415073730202075,49.5030038230475,5.26488257782632,3.03659202621518,"41.78%","0.42%","49.5%","5.26%","3.04%",9155,140,1529.21900600765," 9,155","140","1529"
"95448","Sonoma",17482,67.486557602105,0.183045418144377,1.43576249856996,27.5540556000458,3.34057888113488,"67.49%","0.18%","1.44%","27.55%","3.34%",17891,56,313,"17,891","56","313"
"94002","San Mateo",27202,55.0878611866774,0.915373869568414,27.2737298728035,10.9330196309095,5.79001544004117,"55.09%","0.92%","27.27%","10.93%","5.79%",-1,-1,-1,"No Data","No Data","No Data"
"94949","Marin",17452,62.71487508595,3.7531515012606,10.0446940178776,14.2677057070823,9.21957368782948,"62.71%","3.75%","10.04%","14.27%","9.22%",-1,-1,-1,"No Data","No Data","No Data"
"94015","San Mateo",64887,16.5102408802996,2.91892058501703,58.7344152141415,17.5027355248355,4.33368779570638,"16.51%","2.92%","58.73%","17.5%","4.33%",-1,-1,-1,"No Data","No Data","No Data"
"94928","Sonoma",44103,58.9869169897739,2.37852300297032,5.58238668571299,28.6511121692402,4.40106115230256,"58.99%","2.38%","5.58%","28.65%","4.4%",45630,118,258.6,"45,630","118","259"
"94114","San Francisco",34754,70.1760948380043,2.24722334119814,12.9884329861311,8.81912873338321,5.76912010128331,"70.18%","2.25%","12.99%","8.82%","5.77%",34754,298,857.45525694884,"34,754","298","857"
"94553","Contra Costa",49699,62.4157427714843,3.00609670214692,9.03438700979899,20.2820982313527,5.26167528521701,"62.42%","3.01%","9.03%","20.28%","5.26%",-1,-1,-1,"No Data","No Data","No Data"
"95130","Santa Clara",14863,43.625109331898,2.4624907488394,34.2326582789477,15.2660970194443,4.41364462087062,"43.63%","2.46%","34.23%","15.27%","4.41%",14863,117,787,"14,863","117","787"
"94503","Napa",20306,22.9735053678716,7.48547227420467,35.2949867034374,27.750418595489,6.49561705899734,"22.97%","7.49%","35.29%","27.75%","6.5%",-1,-1,-1,"No Data","No Data","No Data"
"95391","Alameda",16562,27.1042144668518,8.93008090810289,41.1725637000362,15.2095157589663,7.58362516604275,"27.1%","8.93%","41.17%","15.21%","7.58%",0,0,0,"     0","0","0"
"94596","Contra Costa",20822,68.1490730957641,1.8345980213236,12.7413312842186,10.7098261454231,6.56517145327058,"68.15%","1.83%","12.74%","10.71%","6.57%",-1,-1,-1,"No Data","No Data","No Data"
"95401","Sonoma",38986,51.6595701020879,1.3030318575899,4.16559790694095,38.5471707792541,4.32462935412712,"51.66%","1.3%","4.17%","38.55%","4.32%",37077,136,366.8,"37,077","136","367"
"95046","Santa Clara",6025,41.5269709543568,0.962655601659751,3.46887966804979,50.5892116182573,3.45228215767635,"41.53%","0.96%","3.47%","50.59%","3.45%",6025,149,2473," 6,025","149","2473"
"94134","San Francisco",42471,10.5460196369287,7.51100751100751,56.5750747568929,22.0950766405312,3.27282145463964,"10.55%","7.51%","56.58%","22.1%","3.27%",42471,1151,2710.08452826635,"42,471","1151","2710"
"95407","Sonoma",42483,30.6404914907139,2.63399477438034,6.18364993056046,56.0341783772332,4.50768542711202,"30.64%","2.63%","6.18%","56.03%","4.51%",39118,236,603.3,"39,118","236","603"
"95625","Solano",67,74.6268656716418,0,0,25.3731343283582,0,"74.63%","0%","0%","25.37%","0%",-1,-1,-1,"No Data","No Data","No Data"
"94576","Napa",98,83.6734693877551,0,14.2857142857143,2.04081632653061,0,"83.67%","0%","14.29%","2.04%","0%",-1,-1,-1,"No Data","No Data","No Data"
"94963","Marin",498,96.7871485943775,0,0,3.21285140562249,0,"96.79%","0%","0%","3.21%","0%",-1,-1,-1,"No Data","No Data","No Data"
"95128","Santa Clara",37665,37.8043276251162,4.42585955130758,15.2661622195672,37.3901500066375,5.11350059737157,"37.8%","4.43%","15.27%","37.39%","5.11%",37665,555,1474,"37,665","555","1474"
"94512","Solano",16,100,0,0,0,0,"100%","0%","0%","0%","0%",-1,-1,-1,"No Data","No Data","No Data"
"94704","Alameda",29190,39.4347379239466,5.63549160671463,34.6111682082905,13.1517643028434,7.16683795820486,"39.43%","5.64%","34.61%","13.15%","7.17%",30116,254,843.40549874,"30,116","254","843"
"95122","Santa Clara",57780,3.07892004153686,1.28418137763932,34.8009691934926,57.8521979923849,2.98373139494635,"3.08%","1.28%","34.8%","57.85%","2.98%",57780,2292,3967,"57,780","2292","3967"
"94027","San Mateo",7444,69.1832348199893,0.832885545405696,21.4535196131112,4.6749059645352,3.85545405695862,"69.18%","0.83%","21.45%","4.67%","3.86%",-1,-1,-1,"No Data","No Data","No Data"
"95129","Santa Clara",39828,22.7277292357136,1.2704629908607,67.5554886009842,5.48609018780757,2.96022898463393,"22.73%","1.27%","67.56%","5.49%","2.96%",39828,212,532,"39,828","212","532"
"94538","Alameda",68111,19.8396734741819,3.88336685704218,51.9666426862034,19.1320051093069,5.1783118732657,"19.84%","3.88%","51.97%","19.13%","5.18%",66369,782,1178.26093508,"66,369","782","1178"
"95497","Sonoma",1161,83.8931955211025,0,0.775193798449612,15.3316106804479,0,"83.89%","0%","0.78%","15.33%","0%",-1,0,0,"No Data","0","0"
"94404","San Mateo",36905,38.9920065031839,2.3330172063406,46.1238314591519,7.95014225714673,4.60100257417694,"38.99%","2.33%","46.12%","7.95%","4.6%",-1,-1,-1,"No Data","No Data","No Data"
"94710","Alameda",7461,45.83835946924,16.1640530759952,8.29647500335076,21.1901889827101,8.51092346870393,"45.84%","16.16%","8.3%","21.19%","8.51%",8458,270,3192.24402932," 8,458","270","3192"
"94580","Alameda",29942,21.6852581657872,5.3035869347405,27.0856990181017,41.8241934406519,4.10126244071872,"21.69%","5.3%","27.09%","41.82%","4.1%",30055,559,1859.92347363,"30,055","559","1860"
"95035","Santa Clara",77562,11.0053892369975,2.98986617157887,66.7349990974962,14.9338593641216,4.33588612980583,"11.01%","2.99%","66.73%","14.93%","4.34%",77562,813,1048,"77,562","813","1048"
"94131","San Francisco",29902,57.457695137449,4.33081399237509,18.5539428800749,13.0593271353087,6.59822085479232,"57.46%","4.33%","18.55%","13.06%","6.6%",29902,230,769.17931910909,"29,902","230","769"
"94708","Contra Costa",11455,76.3509384548232,2.77608031427324,11.7241379310345,4.98472282845919,4.16412047140986,"76.35%","2.78%","11.72%","4.98%","4.16%",9131,34,372.35790165," 9,131","34","372"
"94526","Contra Costa",32539,79.5722056608992,0.817480561787394,10.7255908294662,5.73465687329051,3.15006607455669,"79.57%","0.82%","10.73%","5.73%","3.15%",-1,-1,-1,"No Data","No Data","No Data"
"94040","Santa Clara",35845,41.7687264611522,1.38094573859674,36.0189705677221,16.7498953828986,4.08146184963035,"41.77%","1.38%","36.02%","16.75%","4.08%",35845,363,1013,"35,845","363","1013"
"95409","Sonoma",27312,75.1574399531342,1.06912712360867,4.55477445811365,15.2350615114236,3.98359695371998,"75.16%","1.07%","4.55%","15.24%","3.98%",27283,49,179.6,"27,283","49","180"
